ligandId|ligandName
2HP|DIHYDROGENPHOSPHATE ION
3CO|COBALT (III) ION
3NI|NICKEL (III) ION
3P8|methylammonium ion
4MO|MOLYBDENUM(IV) ION
4PU|PLUTONIUM ION
4TI|TITANIUM ION
6MO|MOLYBDENUM(VI) ION
ACT|ACETATE ION
AG|SILVER ION
AL|ALUMINUM ION
ALF|TETRAFLUOROALUMINATE ION
AM|AMERICIUM ION
AU|GOLD ION
AU3|GOLD 3+ ION
AUC|GOLD (I) CYANIDE ION
AZI|AZIDE ION
BA|BARIUM ION
BCT|BICARBONATE ION
BEF|BERYLLIUM TRIFLUORIDE ION
BF4|BERYLLIUM TETRAFLUORIDE ION
BO4|BORATE ION
BR|BROMIDE ION
BS3|Bismuth(III) ION
BSY|BISELENITE ION
CA|CALCIUM ION
CAC|CACODYLATE ION
CD|CADMIUM ION
CE|CERIUM (III) ION
CF|CALIFORNIUM ION
CHT|CHOLINE ION
CL|CHLORIDE ION
CO|COBALT (II) ION
CO3|CARBONATE ION
CON|COBALT TETRAAMMINE ION
CR|CHROMIUM ION
CS|CESIUM ION
CSB|CYS BOUND TO LEAD ION
CU|COPPER (II) ION
CU1|COPPER (I) ION
CUA|DINUCLEAR COPPER ION
CUZ|(MU-4-SULFIDO)-TETRA-NUCLEAR COPPER ION
CYN|CYANIDE ION
DY|DYSPROSIUM ION
EDR|EDROPHONIUM ION
EMC|ETHYL MERCURY ION
ER3|ERBIUM (III) ION
EU|EUROPIUM ION
EU3|EUROPIUM (III) ION
F|FLUORIDE ION
FE|FE (III) ION
FE2|FE (II) ION
FPO|FLUORO-PHOSPHITE ION
GA|GALLIUM (III) ION
GD3|GADOLINIUM ION
HG|MERCURY (II) ION
IN|INDIUM (III) ION
IOD|IODIDE ION
IR|IRIDIUM ION
IR3|IRIDIUM (III) ION
IUM|URANYL (VI) ION
K|POTASSIUM ION
LA|LANTHANUM (III) ION
LCO|CHLORATE ION
LCP|PERCHLORATE ION
LI|LITHIUM ION
LU|LUTETIUM (III) ION
MAC|MERCURY ACETATE ION
MG|MAGNESIUM ION
MH2|MANGANESE ION, 1 HYDROXYL COORDINATED
MLI|MALONATE ION
MMC|METHYL MERCURY ION
MN|MANGANESE (II) ION
MN3|MANGANESE (III) ION
MOO|MOLYBDATE ION
MOS|DIOXOTHIOMOLYBDENUM(VI) ION
MOW|Oxo(sulfanyl)molybdenum(IV) ION
NH4|AMMONIUM ION
NI|NICKEL (II) ION
NO2|NITRITE ION
NO3|NITRATE ION
OAA|OXALOACETATE ION
OH|HYDROXIDE ION
OS|OSMIUM ION
OS4|OSMIUM 4+ ION
OXL|OXALATE ION
PB|LEAD (II) ION
PBM|TRIMETHYL LEAD ION
PD|PALLADIUM ION
PER|PEROXIDE ION
PI|HYDROGENPHOSPHATE ION
PO3|PHOSPHITE ION
PO4|PHOSPHATE ION
PR|PRASEODYMIUM ION
PT|PLATINUM (II) ION
PT4|PLATINUM (IV) ION
RB|RUBIDIUM ION
RH3|RHODIUM(III) ION
RU|RUTHENIUM ION
SB|ANTIMONY (III) ION
SCN|THIOCYANATE ION
SE4|SELENATE ION
SEK|SELENOCYANATE ION
SM|SAMARIUM (III) ION
SMO|DIOXOSULFIDOMOLYBDENUM(VI) ION
SO3|SULFITE ION
SO4|SULFATE ION
SR|STRONTIUM ION
TB|TERBIUM(III) ION
TCN|TETRACYANONICKELATE ION
TH|THORIUM ION
THE|THREONATE ION
TL|THALLIUM (I) ION
TMA|TETRAMETHYLAMMONIUM ION
UNX|UNKNOWN ATOM OR ION
VN3|VANADATE ION
VO4|VANADATE ION
W|TUNGSTEN ION
WO4|TUNGSTATE(VI)ION
WO5|TUNGSTATE(VI) ION
Y1|YTTRIUM ION
YB|YTTERBIUM (III) ION
YB2|YTTERBIUM (II) ION
YT3|YTTRIUM (III) ION
ZCM|CURIUM ION
ZN|ZINC ION
ZR|ZIRCONIUM ION
