ligandId|ligandName|ligandSmiles|ligandMolecularWeight
09V|cyclopropylmethanol|C1CC1CO|72.11
0NM|cyanic acid|C(#N)O|43.03
13D|1,3-DIAMINOPROPANE|C(CN)CN|74.12
1BO|1-BUTANOL|CCCCO|74.12
1HC|prop-2-enamide|C=CC(=O)N|71.08
2F2|dimethyl ether|COC|46.07
2ME|METHOXYETHANE|CCOC|60.1
2NO|NITROGEN DIOXIDE|N(=O)[O]|46.01
3CN|3-AMINOPROPANE|CCCN|59.11
3QD|ethylboronic acid|B(CC)(O)O|73.89
4Y8|1-hydroxypropan-2-one|CC(=O)CO|74.08
5OZ|2-methylpropanal|CC(C)C=O|72.11
5VQ|2-Propen-1-ol|C=CCO|58.08
61G|2-methylbuta-1,3-diene|CC(=C)C=C|68.12
6AC|prop-2-enenitrile|C=CC#N|53.06
74C|methyl radical|[CH3]|15.03
7BZ|N,N-dimethylboranamine|BN(C)C|56.9
9A4|(2Z)-but-2-en-1-ol|C/C=C\CO|72.11
9A7|(2E)-but-2-en-1-ol|C/C=C/CO|72.11
ACE|ACETYL GROUP|CC=O|44.05
ACM|ACETAMIDE|CC(=O)N|59.07
ACN|ACETONE|CC(=O)C|58.08
ACY|ACETIC ACID|CC(=O)O|60.05
AEM|2-AMINOETHANIMIDIC ACID|[H]/N=C/CN|58.08
AGU|AMINOGUANIDINE|C(=N)(N)NN|74.08
AKK|(1Z)-prop-1-en-1-amine|C/C=C\N|57.09
AKR|ACRYLIC ACID|C=CC(=O)O|72.06
ARF|FORMAMIDE|C(=O)N|45.04
AXO|(1E)-N-hydroxyethanimine|C/C=N/O|59.07
AYE|prop-2-en-1-amine|C=CCN|57.09
BF2|BERYLLIUM DIFLUORIDE|[Be](F)F|47.01
BO3|BORIC ACID|B(O)(O)O|61.83
C2H|acetylene|C#C|26.04
CCN|ACETONITRILE|CC#N|41.05
CF0|fluoromethane|CF|34.03
CFT|TRIFLUOROMETHANE|C(F)(F)F|70.01
CMO|CARBON MONOXIDE|[C-]#[O+]|28.01
CNN|CYANAMIDE|C(#N)N|42.04
CNV|propanenitrile|CCC#N|55.08
CO2|CARBON DIOXIDE|C(=O)=O|44.01
CRD|(2E)-BUT-2-ENAL|C\C=C\C=O|70.09
D3O|trideuteriooxidanium|[2H][O+]([2H])[2H]|22.04
D8U|deuterium(1+)|[2H+]|2.01
DMF|DIMETHYLFORMAMIDE|CN(C)C=O|73.09
DMN|DIMETHYLAMINE|CNC|45.08
DOD|DEUTERATED WATER|[2H]O[2H]|20.03
EDN|ETHANE-1,2-DIAMINE|C(CN)N|60.1
